example_id,conv_id,target_tweet_id,data_split
BA_105364,105364,468000,golden_eval
BA_106562,106562,472974,golden_eval
BA_110245,110245,488465,golden_eval
BA_120790,120790,526453,golden_eval
BA_122456,122456,533176,golden_eval
BA_123629,123629,537836,golden_eval
BA_125782,125782,545632,golden_eval
BA_131149,131149,564294,golden_eval
BA_132217,132217,567881,golden_eval
BA_135900,135900,580842,golden_eval
BA_1392,1392,8161,golden_eval
BA_147482,147482,623658,golden_eval
BA_150929,150929,638576,golden_eval
BA_152445,152445,644389,golden_eval
BA_154364,154364,651004,golden_eval
BA_155506,155506,655639,golden_eval
BA_163041,163041,683726,golden_eval
BA_163928,163928,686826,golden_eval
BA_167682,167682,702171,golden_eval
BA_167696,167696,702203,golden_eval
BA_168706,168706,705392,golden_eval
BA_174566,174566,728062,golden_eval
BA_175984,175984,734566,golden_eval
BA_177915,177915,742566,golden_eval
BA_179834,179834,750629,golden_eval
BA_181319,181319,756601,golden_eval
BA_183788,183788,766186,golden_eval
BA_193533,193533,807551,golden_eval
BA_197365,197365,823312,golden_eval
BA_207161,207161,864704,golden_eval
BA_213215,213215,888938,golden_eval
BA_216956,216956,904111,golden_eval
BA_231852,231852,962911,golden_eval
BA_235380,235380,976985,golden_eval
BA_236326,236326,981059,golden_eval
BA_24151,24151,119819,golden_eval
BA_241606,241606,1003082,golden_eval
BA_248481,248481,1029841,golden_eval
BA_249521,249521,1033943,golden_eval
BA_252288,252288,1045747,golden_eval
BA_252735,252735,1047558,golden_eval
BA_255518,255518,1059142,golden_eval
BA_26002,26002,127275,golden_eval
BA_261585,261585,1083211,golden_eval
BA_264086,264086,1092617,golden_eval
BA_269432,269432,1113047,golden_eval
BA_272277,272277,1124753,golden_eval
BA_278441,278441,1150105,golden_eval
BA_28722,28722,139745,golden_eval
BA_288483,288483,1189904,golden_eval
BA_291361,291361,1201513,golden_eval
BA_294773,294773,1215796,golden_eval
BA_301699,301699,1242420,golden_eval
BA_307083,307083,1264776,golden_eval
BA_317554,317554,1306207,golden_eval
BA_318162,318162,1308401,golden_eval
BA_321039,321039,1320705,golden_eval
BA_32439,32439,154718,golden_eval
BA_32854,32854,156273,golden_eval
BA_331684,331684,1365097,golden_eval
BA_334633,334633,1376254,golden_eval
BA_336228,336228,1382544,golden_eval
BA_33704,33704,159793,golden_eval
BA_337964,337964,1388622,golden_eval
BA_34921,34921,164471,golden_eval
BA_349968,349968,1437596,golden_eval
BA_351856,351856,1445389,golden_eval
BA_358073,358073,1468576,golden_eval
BA_358078,358078,1468599,golden_eval
BA_361147,361147,1479900,golden_eval
BA_362535,362535,1485103,golden_eval
BA_365162,365162,1495367,golden_eval
BA_375254,375254,1535645,golden_eval
BA_379506,379506,1551482,golden_eval
BA_383968,383968,1568994,golden_eval
BA_408652,408652,1662382,golden_eval
BA_40901,40901,189587,golden_eval
BA_409290,409290,1665463,golden_eval
BA_409640,409640,1666837,golden_eval
BA_410230,410230,1669175,golden_eval
BA_410381,410381,1669769,golden_eval
BA_417056,417056,1694699,golden_eval
BA_423824,423824,1719300,golden_eval
BA_424561,424561,1722264,golden_eval
BA_440828,440828,1781920,golden_eval
BA_442748,442748,1787615,golden_eval
BA_451515,451515,1813674,golden_eval
BA_465615,465615,1863122,golden_eval
BA_466171,466171,1864918,golden_eval
BA_470151,470151,1877521,golden_eval
BA_472183,472183,1883908,golden_eval
BA_475430,475430,1894683,golden_eval
BA_477490,477490,1900704,golden_eval
BA_479193,479193,1905662,golden_eval
BA_481598,481598,1913190,golden_eval
BA_481784,481784,1913737,golden_eval
BA_485276,485276,1924852,golden_eval
BA_487360,487360,1931135,golden_eval
BA_492183,492183,1947702,golden_eval
BA_495495,495495,1960772,golden_eval
BA_496691,496691,1965282,golden_eval
BA_50332,50332,228299,golden_eval
BA_505719,505719,1995672,golden_eval
BA_50753,50753,230338,golden_eval
BA_50768,50768,230411,golden_eval
BA_508011,508011,2002156,golden_eval
BA_509781,509781,2007271,golden_eval
BA_510140,510140,2008329,golden_eval
BA_51310,51310,232941,golden_eval
BA_51492,51492,233677,golden_eval
BA_521268,521268,2040574,golden_eval
BA_525809,525809,2053177,golden_eval
BA_534245,534245,2076712,golden_eval
BA_534669,534669,2077893,golden_eval
BA_542508,542508,2103904,golden_eval
BA_542898,542898,2105484,golden_eval
BA_544277,544277,2110393,golden_eval
BA_547282,547282,2121438,golden_eval
BA_551416,551416,2135810,golden_eval
BA_56521,56521,256829,golden_eval
BA_567068,567068,2189893,golden_eval
BA_567093,567093,2190014,golden_eval
BA_568345,568345,2194493,golden_eval
BA_569197,569197,2197494,golden_eval
BA_569199,569199,2197499,golden_eval
BA_57162,57162,259531,golden_eval
