text,count,share
@user sorry for the hassle. please report this to our support team here: {url} and we'll check this. ^hn,202,0.00119
@user we would like to help you. please share your details with us here: {url} we'll get in touch shortly. ^cb,129,0.00076
"@user please don't provide your order details, we consider it personal information. our twitter page is visible to public. ^ha",124,0.00073
@user please don’t provide your order details as it is personal information. our page is visible to the public.{num}/{num}^hn,98,0.00058
"@user please don't provide your order details, as we consider it to be personal information. our twitter page is public.​ ^rw",83,0.00049
"@user please don't provide your order details, we consider it to be personal information. our page is visible to the public. ^ka",79,0.00047
@user please don’t provide your order details as we consider them to be personal info. our page is visible to public. ^sg({num}/{num}),79,0.00047
@user please fill in your details using the link: {url} and i'll get in touch with you soon. ^ak ({num}/{num}),75,0.00044
"@user please don't provide your order details, we consider it personal info. our twitter page is visible to public. ^nr {num}/{num}",73,0.00043
@user sorry to hear that. get in touch here: {url} and we'll be happy to help. ^rs,72,0.00042
@user please don’t provide your order details as it is personal information. our twitter page is visible to the public. ^ms,69,0.00041
@user can you contact us here: {url} ^mc,66,0.00039
"@user please don't provide your order details, we consider it personal information. our twitter page is visible to public. ^mj",64,0.00038
"@user please don't provide your order details, we consider it personal information. our twitter page is visible to public. ^ks {num}/{num}",63,0.00037
"@user also, please don't provide your order/account details as we consider them to be personal information. ^hk",62,0.00037
"@user please don't provide your order details, as we consider it to be personal info. our page is visible to the public. {num}/{num} ^ps",58,0.00034
@user please don’t provide your details as we consider them to be personal information. our twitter page is public. {num}/{num} ^sh,56,0.00033
@user apologies for the unpleasant experience. kindly share your details here: {url} and i'll contact you. ^gs,55,0.00032
"@user please don't provide your details, we consider it personal information. our twitter page is visible to public. ^hd",55,0.00032
@user kindly share your details here: {url} and i'll look into this. ^sg,54,0.00032
