example_id,conv_id,target_tweet_id,target_author_id,target_created_ts,customer_message,prior_context,intent,intent_confidence,secondary_intent,resolution_observable,resolution_type,escalation_label,escalation_reason,noise_flag,ambiguity_flag,annotator_notes,sampling_bucket_primary,is_conflict,sample_slice,is_first_inbound,target_position,n_inbound_total,conv_tweets_total,n_brand_tweets_total,message_chars,message_words,has_brand_reply_after,reference_brand_reply,data_split,sample_source,includes_future_context,leakage_safe
BA_105364,105364,468000,226431,2017-12-01 06:22:55+05:30,@British_Airways not the best performance at JFK flight BA113 from Heathrow,,contact_or_human_escalation_request,medium,,UNRESOLVED,action_offered,ESCALATE,complaint_or_human_judgment,FALSE,unclear_intent,Vague performance complaint about BA113 JFK; brand asked for details.,other,False,main,True,1,3,6,3,75,11,True,"@226431 Oh, dear! What happened, Andy? ^Beth S.",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_106562,106562,472974,227634,2017-12-01 14:51:25+05:30,"@British_Airways Can you please give an honest reason for the delay on BA8704 LCY to EDI? No crew now an tech issue. Oh, and departure board still says now leaving at 9am??",,flight_disruption,high,,INFORMATION_PROVIDED,status_update,AUTO_HANDLE,,FALSE,none,Delayed LCY-EDI; brand explained system-update timing and gave the new departure time.,flight_disruption,False,main,True,1,2,4,2,172,32,True,"@227634 Hi Ian, we won't know the reason for the delay until our systems update in 24 hours.  I can see the new departure time is 09:45.  We hope you're on your way very soon. ^Ems",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_110245,110245,488465,231300,2017-12-01 15:06:08+05:30,@British_Airways what's the point in being an executive member when all your going to do is take away our points without any notice?! #crap #service,,information_or_policy,high,contact_or_human_escalation_request,INFORMATION_PROVIDED,direct_answer,AUTO_HANDLE,,FALSE,none,Avios-expiry policy (36-month inactivity) explained.,information_or_policy,False,main,True,1,2,4,2,148,25,True,"@231300 Hi Bhavin, if there is no activity within your account for 36 months then your Avios will expire. We do send an email to the account we hold to make you aware that you're coming up to this time. ^Ems",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_120790,120790,526453,241828,2017-12-01 22:41:47+05:30,"Well @British_Airways that was fab. Alistair &amp; Cordelia were very hospitable and welcomed me on to the flight deck for a chat despite having an AMS &amp; back to go. Please pass on my thanks to all crew (BA1343).
Great flight. https://t.co/ZiTjjkHv1k",,noise_or_off_topic_or_ack,high,,UNCLEAR,empathy_only,AUTO_HANDLE,,TRUE,none,Thanks to the crew on BA1343.,noise_or_off_topic,False,main,True,1,1,2,1,254,42,True,"@241828 We're glad you enjoyed the experience, George. We'll be sure to pass on your thanks. ^Teresa",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_122456,122456,533176,243520,2017-12-02 07:21:03+05:30,@British_Airways can I use an expired passport for a domestic flight? (been expired for a few months),,information_or_policy,high,,INFORMATION_PROVIDED,direct_answer,AUTO_HANDLE,,FALSE,none,Expired passport for a domestic flight is not valid photographic ID.,other,False,main,True,1,1,2,1,101,17,True,"@243520 Hi there. You'd need a valid form of photographic I.D. If you're going to use a passport, it can't be an expired one. ^Paul",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_123629,123629,537836,244675,2017-12-02 16:04:23+05:30,"@British_Airways Good morning, what is the process for receiving information on air miles?",,information_or_policy,high,,INFORMATION_PROVIDED,link_or_reference,AUTO_HANDLE,,FALSE,none,Air-mile information; link provided.,information_or_policy,False,main,True,1,1,2,1,90,13,True,"@244675 Hi, Gerry. What information are you looking for? Here is a link that may help: https://t.co/seZQFvmi49 ^Pip",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_125782,125782,545632,160880,2017-12-02 22:24:41+05:30,"Started my day in France, hit Switzerland, then France &amp; now in #London @British_Airways and my fav Lounge https://t.co/tcBD1QngFE",,noise_or_off_topic_or_ack,high,,UNCLEAR,empathy_only,AUTO_HANDLE,,TRUE,none,Multi-country travel-day post plus lounge mention.,other,False,main,True,1,1,2,1,134,19,True,"@160880 Hi Jon, I hope you enjoy the lounge ! ^Tom",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_131149,131149,564294,252167,2017-12-03 00:44:09+05:30,"@British_Airways Hi there, can I ask a member of customer service to contact me with an urgent query regarding a change in flight times that I have not been contacted about. Thanks",,contact_or_human_escalation_request,high,flight_disruption,HANDOFF_OUTCOME_OFF_THREAD,action_offered,ESCALATE,account_specific,FALSE,multi_intent,Requests a call-back about un-contacted flight-time changes to their booking.,contact_or_complaint,False,main,True,1,1,2,1,180,32,True,"@252167 Hi Niamh.  We're sorry to hear your flight has been changed.  DM your booking ref, email, home address with area code and telephone number.  We'll take a look and then give you a call if this issue needed fixing. ^Neil",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_132217,132217,567881,253205,2017-12-03 02:28:19+05:30,"@British_Airways my Executive Club Account has been hacked, pleased advise. Thank you.",,account_or_security,high,,HANDOFF_OUTCOME_OFF_THREAD,action_offered,ESCALATE,security_or_identity,FALSE,none,Executive Club account hacked.,account_or_security,False,main,True,1,2,3,1,86,12,True,"@253205 Hi Richard.  We're very concerned to hear this.  DM your Executive Club number, email, home address with post code that is registered to your account and your date of birth.  We'll then pass your details to the Executive Club for you. ^Neil",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
BA_135900,135900,580842,256848,2017-12-03 17:42:06+05:30,@British_Airways It's not giving me the option of DMing you as you don't follow me?,"[CUSTOMER @ 2017-12-03 16:04:36+05:30] @British_Airways hi, I tried to reserve price for 72 hours for £20, but I never got an email or booking code or anything. So I had to book flight from scratch later that day. I see you’ve still taken the £20 off me though!
[BRAND @ 2017-12-03 17:36:03+05:30] @256848 This is concerning to hear, Emlyn. If you could DM us your original flight details, new booking ref, email and contact number, we'll look into this for you. ^David",contact_or_human_escalation_request,medium,refund_or_compensation,INFORMATION_PROVIDED,direct_answer,ESCALATE,payment_or_refund,FALSE,multi_intent,Later-position turn; continuation of a GBP20 reserve-price charge issue; asks how to DM (not followed).,other,False,main,False,3,2,4,2,83,15,True,"@256848 Hi Emlyn, we're following you now. It should let you DM us. Thanks. ^Raj",golden_eval,conversations_parquet_2017_twcs_british_airways,False,True
