example_id,customer_message,current_intent,proposed_intent,intent_review_status,current_escalation,proposed_escalation,escalation_review_status,current_escalation_reason,proposed_escalation_reason,ambiguity_flag,review_priority,review_reason,human_final_intent,human_final_escalation,human_final_reason,human_notes
BA_105364,@British_Airways not the best performance at JFK flight BA113 from Heathrow,contact_or_human_escalation_request,complaint_or_human_assistance,CHANGE_PROPOSED,ESCALATE,AUTO_HANDLE,CHANGE_PROPOSED,complaint_or_human_judgment,,unclear_intent,HIGH,"audit deep-dive (§1); taxonomy class under rename/boundary review; ambiguous (unclear_intent); vague airline-performance complaint; public empathy+probe suffices, no account data",,,,
BA_110245,@British_Airways what's the point in being an executive member when all your going to do is take away our points without any notice?! #crap #service,information_or_policy,information_or_policy,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,multi-intent / secondary intent set,,,,
BA_120790,"Well @British_Airways that was fab. Alistair &amp; Cordelia were very hospitable and welcomed me on to the flight deck for a chat despite having an AMS &amp; back to go. Please pass on my thanks to all crew (BA1343).
Great flight. https://t.co/ZiTjjkHv1k",noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review,,,,
BA_125782,"Started my day in France, hit Switzerland, then France &amp; now in #London @British_Airways and my fav Lounge https://t.co/tcBD1QngFE",noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,KEEP_PROPOSED,AUTO_HANDLE,AUTO_HANDLE,KEEP_PROPOSED,,,none,HIGH,taxonomy class under rename/boundary review,,,,
BA_131149,"@British_Airways Hi there, can I ask a member of customer service to contact me with an urgent query regarding a change in flight times that I have not been contacted about. Thanks",contact_or_human_escalation_request,complaint_or_human_assistance,CHANGE_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,account_specific,account_specific,multi_intent,HIGH,audit deep-dive (§1); taxonomy class under rename/boundary review; ambiguous (multi_intent); multi-intent / secondary intent set; explicit human-callback request re flight-time change; needs booking lookup,,,,
BA_132217,"@British_Airways my Executive Club Account has been hacked, pleased advise. Thank you.",account_or_security,account_access_or_security,CHANGE_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,security_or_identity,security_or_identity,none,HIGH,audit deep-dive (§4); taxonomy class under rename/boundary review; hacked EC account; identity verification required,,,,
BA_135900,@British_Airways It's not giving me the option of DMing you as you don't follow me?,contact_or_human_escalation_request,complaint_or_human_assistance,CHANGE_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,payment_or_refund,payment_or_refund,multi_intent,HIGH,audit deep-dive (§1); taxonomy class under rename/boundary review; ambiguous (multi_intent); multi-intent / secondary intent set; later-position conversation example; channel-blocked follow-up inside a refund thread (later turn); refund routing retained,,,,
BA_147482,@British_Airways flying from JNB with a friend whose ID stolen.  Have police case# and certified copy.  You won’t let her board.  Help,contact_or_human_escalation_request,complaint_or_human_assistance,CHANGE_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,legal_or_regulatory_risk,security_or_identity,none,HIGH,audit deep-dive (§1); taxonomy class under rename/boundary review; boarding-document identity crisis; autonomously unsolvable (alt reason legal_or_regulatory_risk),,,,
BA_150929,@British_Airways I have a tkt for a flt 2moro fm BHD-LHR AT 0645 which allows me to change the time of flight on the same day if there is1/3,information_or_policy,booking_change_or_cancellation,CHANGE_PROPOSED,ESCALATE,ESCALATE,KEEP_PROPOSED,account_specific,account_specific,none,HIGH,audit deep-dive (§5); multi-intent / secondary intent set; objective = same-day flight change; needs PNR (intent shifted from info),,,,
BA_152445,"@British_Airways really disappointed with the level of customer support, just no care unless you’re a club member",contact_or_human_escalation_request,complaint_or_human_assistance,CHANGE_PROPOSED,ESCALATE,AUTO_HANDLE,CHANGE_PROPOSED,complaint_or_human_judgment,,unclear_intent,HIGH,"audit deep-dive (§1); taxonomy class under rename/boundary review; ambiguous (unclear_intent); complaint-venting, no concrete ask; public empathy + open prompt",,,,
