candidate_id,conv_id,tweet_id,created_ts,matched_keywords,n_keyword_groups,msg_chars,customer_message,scenario_notes
SEAT_0000,315011,1296437,2017-10-26 20:57:54+05:30,seat|upgrade|row \d+|cabin|first class,5,140,"@British_Airways BA2156 30JAN18 Plane chge = no window seat now.  What is in front of row 10? First class? If so, is it poss to upgrade. txs",plane change lost booked window seat; upgrade possibility Q
SEAT_0001,730427,2756596,2017-11-21 01:40:28+05:30,seat|upgrade|row \d+|cabin|premium,5,274,"@British_Airways very disappointed with BA at Fort Lauderdale Airport, tried to upgrade by checking in at the terminal early only to be told that all cabins are full. Yet seats are still available in premium economy and business if buying a new ticket on the same flight! :/","tried to upgrade at terminal check-in, all cabins full"
SEAT_0002,547094,2120791,2017-11-08 18:12:09+05:30,seat|row \d+|cabin|premium|club world,5,278,@British_Airways Club World flight later today Can to LGW check in shows my gf and I sat at opp parts of plane. Customer relations ‘next time pay extra to guarantee seats together’.. I’m already paying a premium.  Also told ‘I’m paying for the cabin not the experience’. Really?,booked Club World but allocated opposite sides of aircraft
SEAT_0003,528438,2060404,2017-10-07 19:58:04+05:30,seat|upgrade|row \d+|cabin,4,125,"No seats available in my cabin on my @British_Airways flight tomorrow, and upgrade not possible. Great start to my book tour.",no seats left in cabin; upgrade impossible (sarcastic)
SEAT_0004,465381,1862159,2017-10-19 19:16:00+05:30,seat|upgrade|premium|business class,4,127,@British_Airways Can I upgrade to Premium Economy or Business Class after purchasing Economy Class seat. Heathrow - Hong Kong ?,can i upgrade to Premium Economy/Business after Economy purchase?
SEAT_0005,727454,2746825,2017-11-20 21:29:12+05:30,seat|leg ?room|row \d+|cabin,4,127,"@British_Airways hello... flying to MCO on 5th December, looking online booking leg room seats, is row 16 extra leg room seats?",row 16 on MCO flight - extra legroom seats?
SEAT_0006,178169,743605,2017-10-11 19:03:45+05:30,seat|upgrade|leg ?room|extra legroom,4,129,"@British_Airways Can I upgrade to an extra legroom seat online after checking in? (I've checked in now, cant seem to change seat)",can upgrade to extra-legroom online after check-in?
SEAT_0007,446495,1798962,2017-10-13 21:56:55+05:30,seat|exit row|row \d+|cabin,4,138,@British_Airways I'm trying to book Exit Row seats for BA0287. But it says none available. But your site says there is one left on Row 20?,exit-row seats show none on booking yet site shows a row free
SEAT_0009,567075,2189925,2017-11-09 20:18:54+05:30,seat|leg ?room|exit row|extra legroom,4,278,"@British_Airways So I just checked in for my flight tomorrow, selected extra legroom seats, but my boarding passes now say I’m still in the previously allocated standard seats. Called support: was told there’s 5 exit row seats available, but I’m not allowed to book any of them!","selected extra-legroom at check-in, boarding pass reverted"
SEAT_0011,273417,1129530,2017-10-15 15:01:42+05:30,row \d+|cabin|first class,3,83,@British_Airways do u offer first class cabin on BA154 flying October 19th ? Thanks,does BA154 (Oct 19) offer first class?
SEAT_0013,533810,2075583,2017-10-10 12:00:45+05:30,seat|leg ?room|exit row,3,109,@British_Airways hi! Do your exit row seats have extra leg room? Or are there specific seats that offer this?,do exit-row seats have extra legroom?
SEAT_0014,755296,2842375,2017-11-27 19:00:48+05:30,upgrade|row \d+|cabin,3,109,@British_Airways is there any option to upgrade my cabin using avios for my flight to MCO on 5th December? :),can upgrade cabin with Avios to MCO?
SEAT_0015,584832,2250665,2017-11-10 19:53:01+05:30,seat|leg ?room|extra legroom,3,112,@British_Airways  2 days before flight been booted out of extra legroom seats for no reason. Not good service BA,booted out of extra-legroom seats 2 days before flight
SEAT_0019,412855,1678757,2017-11-06 18:33:19+05:30,seat|row \d+|cabin,3,119,"@British_Airways is row 33 in world traveller plus, I think not. So why am I seated there? Downgraded I hope not BA0175",row 33 wrongly in world traveller plus? downgraded?
SEAT_0020,290736,1199210,2017-10-24 18:46:28+05:30,leg ?room|exit row|extra legroom,3,120,@British_Airways Very disappointed to pay extra for an emergency exit row only to find that there is zero extra legroom.,paid extra for exit row but zero extra legroom
