text,count,share
@user let me partner you with our verizon wireless team @user. ^car,261,0.01453
@user thanks for the tweet! we'll refer this to our wireless colleagues @user since we handle fios and dsl accounts. ^ddd,148,0.00824
@user please contact our friends @user for assistance with verizon mobile service. ^txa,132,0.00735
@user is this for your verizon residential or verizon wireless mobile? ^adp,123,0.00685
@user what's going on? ^car,117,0.00651
@user let’s get you over to our partner’s @user and they will assist you with your wireless concerns. ^tdc,88,0.0049
@user we will let @user know you need help. ^kmg,78,0.00434
@user please follow and dm us. ^rmd,68,0.00378
@user please follow and dm us. ^acm,64,0.00356
@user let us partner you with our verizon wireless team @user. we will get this over to them for you. ^fem,61,0.0034
"@user we understand your concerns, let us partner you with @user. ^adp",49,0.00273
@user can you please follow and dm us? ^car,43,0.00239
@user help is here! how can we assist? ^ddg,38,0.00212
@user please follow and dm so we can continue. ^ddg,38,0.00212
@user let us get this over to our wireless counterparts for all your mobile concerns @user. ^nhp,37,0.00206
@user we'd love to have you! please let us know if we can assist with switching. ^ddd,37,0.00206
@user we will have to refer this to our wireless counterparts @user for all your mobile concerns. ^jra,37,0.00206
@user please follow and dm us for assistance. ^tdc,35,0.00195
@user this is not the perception we want you to have of us. allow us to turn this around for you. how can we assist? ^ddg,34,0.00189
@user do you know where the battery backup unit is located? ^fem,32,0.00178
