text,count,share
"@user in order for me to do so can you please dm your full name, full address and email address? thank you - aneurin {num}/{num}",111,0.00288
"@user could you dm your name, full address, barcode of the product, use by/best before date &amp; batch code please? {num}/{num}",49,0.00127
@user can you also send the supplier code (for example sc{num}) &amp; a full copy of your receipt? {num}/{num},49,0.00127
@user we'll then be able to record this data to ensure that our suppliers are aware. we can also offer you a tesco moneycard. {num}/{num},42,0.00109
"@user also the supplier code(sc), would it be ok to pass your details to our supplier? ty - jayne {num}/{num}",40,0.00104
@user i would like to issue a refund for you and pass your comments to our supplier. can you dm some information? {num}/{num},38,0.00099
"@user your full name, address, barcode, price paid, date code, store visited and clear copy of your receipt? {num}/{num}",38,0.00099
"@user can you also send a clear picture of the front/back of the packaging, the store you purchased from and the price paid? {num}/{num}",37,0.00096
@user do you give permission to pass your details to the supplier? -aisha {num}/{num},37,0.00096
"@user lastly, would it be okay to pass your details on to our supplier in case they wish to contact you? thanks - peter {num}/{num}",31,0.0008
"@user your full name, address, email address, barcode, price paid, date code and clear copy of your receipt? also the supplier code(sc), would it be ok to pass your details to our supplier? would you prefer your refund via the post or email? {num}/{num}",31,0.0008
"@user can you please dm me your full name, address, email, barcode, supplier code and also a clear copy of your receipt? {num}/{num}",29,0.00075
@user i'll then be able to refund you. can i also ask for your permission to pass on your details to our supplier please? {num}/{num},29,0.00075
@user can you please let me know if you would rather a refund through the post or to your email? ty - mark {num}/{num},29,0.00075
"@user if there is anything else i can help you with, please let me know. kindest regards- hannah. {num}/{num}",29,0.00075
"@user to resolve this you can return to your nearest extra, superstore or metro with a proof of purchase they’ll be able to sort this out. {num}/{num}",25,0.00065
"@user if you're happy for me to pass your info onto our suppliers, please let me know. i look forward to your reply – mat {num}/{num} {url}",24,0.00062
"@user your moneycard can be sent via email or by post, can you confirm which you’d prefer? {num}/{num}",23,0.0006
"@user please let us know preference of receiving a moneycard, via post or via e-mail. ty - eve {num}/{num}",22,0.00057
@user this issue has been escalated to our it team who are looking to find a resolution as quickly as possible. {num}/{num},22,0.00057
