text,count,share
"@user we'd be happy to help, but we could use more info. could you follow &amp; dm @user with your gamertag &amp; some details? ^ez",459,0.01869
"@user hey there, can you please dm us with a full description of the issue you {num} ^xs",311,0.01266
@user are having along with your gamertag? please include verbatims of any error you are seeing. {num} ^xs,310,0.01262
@user heyo! we'd like to direct message so we can collect some more information. can you follow and {num} ^bz,174,0.00709
@user dm us your gamertag and clarify what the issue is that you're having so we can investigate? {num} ^bz,173,0.00704
"@user hi! let's have you follow us, dm us your gamertag, and some more info about what you're seeing: {url} ^bl",160,0.00652
@user hi there! we'd be happy to help with this. could you follow us back &amp; dm your gamertag when you get a chance? ^tj,146,0.00595
@user hello! would you mind following us and sending a dm when you are so we can gather more info? ^rr,134,0.00546
@user hi there! mind sending us a direct message {url} with your gamertag so we can further assist? ^ja,104,0.00424
@user a dm: {url} with your gamertag and a detailed summary of the issue you're experiencing? {num} ^zm,99,0.00403
"@user hi there, we'd like to help but could use more info. can you please send us {num} ^zm",98,0.00399
"@user hey, could you direct message us and explain in detail what issue you are experiencing? ^rm",71,0.00289
@user hi there! do you mind dm'ing us your gamertag so we can gather a bit of info? ^jl,54,0.0022
@user let's have you try reaching out to chat: {url} support as they will be better equipped to assist you further. ^rr,53,0.00216
"@user hey there, can you please follow then dm us your gamertag so that we can collect some more information from you? ^xs",47,0.00191
@user glad to hear! have a great rest of your day. ^rr,45,0.00183
@user heya! would you mind sending a picture of your network stats: settings&gt;network&gt;network settings&gt;detailed network statistics ^rr,44,0.00179
"@user we'd be happy to help, but could use more info. could you follow &amp; dm @user with your gamertag &amp; some details? ^ez",43,0.00175
@user greetings! let's have you try resetting your router/modem and power cycling: {url} ^rr,42,0.00171
@user heya! to view enforcement actions you can go here: {url} and if eligible you can submit a case review. ^rr,37,0.00151
