text,count,share
"@user i'm sorry for the trouble, let's get this fixed for you. are you still having issues preordering the device? -sa",49,0.00219
"@user please send us a direct message, so that we can further assist you. -je",35,0.00156
"@user this situation concerns us. please, feel free to send us a direct message, so that we can further assist you. - fs",33,0.00147
"@user please send us a direct message, so that we can further assist you. -al",32,0.00143
"@user hi there! we saw your tweet and we would like to help. please send us a direct message, so that we can further assist you. - jl {url}",31,0.00139
"@user this comment concerns us. please feel free to send us a direct message, so that we can further assist you. - vc",29,0.0013
@user ({num}/{num}) hello there! that's definitely not the kind of feedback we want to hear. - wr,28,0.00125
"@user hi there! we saw your tweet. due to character limitations, please send us a direct message, so that we can further assist you. - jl {url}",25,0.00112
"@user hi, please send us a dm so that we can further assist you. -ra",25,0.00112
"@user please send us a direct message, so that we can further assist you. -jj",25,0.00112
"@user please send us a direct message, so that we can further assist you. -es",23,0.00103
@user not what we like to hear. please shoot us a quick dm with details and i’ll jump on it. - lp,23,0.00103
@user we apologize for the issues you have experienced. dm us your phone number so that team @user may research your concerns.,22,0.00098
"@user please send us a direct message, so that we can further assist you. -ah",21,0.00094
@user hey there! thank you so much for the post today! what’s going on? -kj,20,0.00089
"@user hi, we definitely want to work with you on this. please send us a direct message, so that we can further assist you. -nr",20,0.00089
"@user thanks for reaching out to us. please send us a direct message, so that we can further assist you. -mj",19,0.00085
"@user please send us a direct message, so that we can further assist you. -pc",19,0.00085
@user ({num}/{num}) what seems to be the issue? - wr,19,0.00085
@user ({num}/{num}) hi there! thanks for bringing this to our attention. we would love to look into that for you. - wr,19,0.00085
