example_id,review_priority,customer_message,current_intent,recommended_intent,current_escalation,recommended_escalation,recommended_escalation_reason,ambiguity_flag,intent_review_status,escalation_review_status,status,human_decision_accept,human_final_intent,human_final_escalation,human_notes
BA_105364,HIGH,@British_Airways not the best performance at JFK flight BA113 from Heathrow,contact_or_human_escalation_request,complaint_or_human_assistance,ESCALATE,AUTO_HANDLE,,unclear_intent,CHANGE_PROPOSED,CHANGE_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_110245,HIGH,@British_Airways what's the point in being an executive member when all your going to do is take away our points without any notice?! #crap #service,information_or_policy,information_or_policy,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_120790,HIGH,"Well @British_Airways that was fab. Alistair &amp; Cordelia were very hospitable and welcomed me on to the flight deck for a chat despite having an AMS &amp; back to go. Please pass on my thanks to all crew (BA1343).
Great flight. https://t.co/ZiTjjkHv1k",noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_125782,HIGH,"Started my day in France, hit Switzerland, then France &amp; now in #London @British_Airways and my fav Lounge https://t.co/tcBD1QngFE",noise_or_off_topic_or_ack,noise_or_off_topic_or_ack,AUTO_HANDLE,AUTO_HANDLE,,none,KEEP_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_131149,HIGH,"@British_Airways Hi there, can I ask a member of customer service to contact me with an urgent query regarding a change in flight times that I have not been contacted about. Thanks",contact_or_human_escalation_request,complaint_or_human_assistance,ESCALATE,ESCALATE,account_specific,multi_intent,CHANGE_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_132217,HIGH,"@British_Airways my Executive Club Account has been hacked, pleased advise. Thank you.",account_or_security,account_access_or_security,ESCALATE,ESCALATE,security_or_identity,none,CHANGE_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_135900,HIGH,@British_Airways It's not giving me the option of DMing you as you don't follow me?,contact_or_human_escalation_request,complaint_or_human_assistance,ESCALATE,ESCALATE,payment_or_refund,multi_intent,CHANGE_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_147482,HIGH,@British_Airways flying from JNB with a friend whose ID stolen.  Have police case# and certified copy.  You won’t let her board.  Help,contact_or_human_escalation_request,complaint_or_human_assistance,ESCALATE,ESCALATE,security_or_identity,none,CHANGE_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_150929,HIGH,@British_Airways I have a tkt for a flt 2moro fm BHD-LHR AT 0645 which allows me to change the time of flight on the same day if there is1/3,information_or_policy,booking_change_or_cancellation,ESCALATE,ESCALATE,account_specific,none,CHANGE_PROPOSED,KEEP_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_152445,HIGH,"@British_Airways really disappointed with the level of customer support, just no care unless you’re a club member",contact_or_human_escalation_request,complaint_or_human_assistance,ESCALATE,AUTO_HANDLE,,unclear_intent,CHANGE_PROPOSED,CHANGE_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
BA_163041,HIGH,"@British_Airways trying to call, 15 minute wait time for Silver members! Do you have on-line chat?",contact_or_human_escalation_request,information_or_policy,ESCALATE,AUTO_HANDLE,,multi_intent,CHANGE_PROPOSED,CHANGE_PROPOSED,ASSISTANT-RECOMMENDED / AWAITING HUMAN CONFIRMATION,,,,
