label,short_name,definition,primary_signal,deciding_rule,extreme_examples_conv_ids,count_in_golden
refund_or_compensation,"Refund / compensation","Customer claims money back: refund of fare/fees/taxes, EU261/EC261 delay-cancellation compensation, Avios or points credit, or reimbursement of incurred expenses.","Money or points owed by BA to the customer, or compensation for an incurred/foreseeable loss.","Any claim that BA owes the customer money or compensation, including via a form or Customer Relations, is this label. Pure policy questions (what is BA allowed to do) are information_or_policy unless the customer frames it as their own claim.","181319,216956,362535,375254,410230,440828",22
booking_change_or_cancellation,"Booking change / cancellation","Customer asks to modify, add-to, or cancel their own booking: rebooking, adding/removing passengers, changing a date/fare, adding an Avios number or Executive Club detail to an existing PNR, amending names/passports, or cancelling.","A change to an existing booking, not a factual/policy question.","Data amendments to a PNR (name, passport, Avios add) are this label even when phrased as questions. Problem with the book-a-flight website/App is website_or_app_issue. Cancellation caused by BA alone belongs to refund_or_compensation or flight_disruption.","154364,177915,248481,255518,264086,294773",12
flight_disruption,"Flight disruption","Customer reports a concrete disruption to their travel: delay, cancellation, diversion, long tarmac wait, misconnect, stranded/reroute, crew/aircraft problems.","A specific, contemporaneous travel event is broken; not a general policy or refund question.","If the customer leads with a disruption and also asks for money, label disruption and note refund as secondary (disruption caused, claim follows). Delays/cancellations that BA caused but the customer only raises a compensation claim for are refund_or_compensation.","106562,163928,168706,213215,235380,24151",27
baggage,"Baggage","Customer reports a baggage problem: delayed, damaged, lost, misrouted bag, or a carry/checked-item issue (drone, skateboard, laptop, musical instrument on board) with a specific journey.","Bag or carry-on item tied to a real trip.","Carry-on content disapproval (e.g., robot/drone on board) is this label when the customer wants an answer about their item. Pure policy question about cabin baggage rules is information_or_policy. Fruits/dried-food carry items flagged ambiguous.","174566,231852,32439,358078,409290,409640",16
seat_or_upgrade,"Seat / upgrade","Customer asks about or wants seat selection, seat fees, upgrades, or cabin class on a specific booking.","Seats or cabin on their trip.","Cost claims tied to paid seats/upgrades were labelled seat_or_upgrade only when cheap upgrades are a flight-operational issue rather than seat policy; seat refund disputes with threats may be seat_or_upgrade + secondary contact.","288483,423824,568345,577348,578442,705984",7
website_or_app_issue,"Website / App issue","Customer reports a technical failure of a BA digital channel: check-in online, Manage My Booking, website errors, app login, payment step, seat selection screen.","Technical failure of the web/App, or enquiry caused by one.","Login and one-time code problems that trace to web/App are this label; Executive Club account hacking/security is account_or_security. EC number not recognized linked to the site can be website_or_app_issue or account_or_security by trace.","1392,155506,175984,301699,451515,465615",21
account_or_security,"Account / security","Customer reports an Executive Club account or security problem: hacked account, suspect activity, lockout, or identity checks blocking access.","Digital identity/account compromise or security gate.","Hacked-account claims route to the Executive Club security team (structural escalation) regardless of which channel reported it. ","132217,479193,729813",3
contact_or_human_escalation_request,"Contact / human escalation request","Customer wants meaningful human contact: real contact numbers, human agents, complaint handling, or signals a need for human judgement (heated complaints, threats, legal/regulatory risks, venting with emotional load).","Request for contact channels, a human, or a route needing human judgement.","Not a money claim (refund_or_compensation) and not an account security case (account_or_security) - this is the remainder: complaints that need a person, phone/web numbers, review submission, legal/regulatory pressure. Ambiguous vents flagged unclear_intent.","105364,131149,135900,147482,152445,163041",29
information_or_policy,"Information / policy","Customer asks a factual question about BA policy, quick service facts (check-in times, arrival time), eligibility rules, or product facts that do not need a booking change.","A standalone knowable fact or policy question.","An answer fully satisfies the query (AUTO_HANDLE). If answering requires account-gated data the resolution is still an off-thread hand-off, but the intent stays information.","110245,122456,123629,150929,179834,236326",20
noise_or_off_topic_or_ack,"Noise / off-topic / ack","Non-service traffic: praise, thanks, banter, sarcastic venting with no actionable request, marketing interactions, off-topic commentary, or a plain acknowledgement.","No actionable service request exists.","Sarcastic 'thanks for cancelling the program' with no request is noise. Complaints with a real unresolved issue are contact_or_human_escalation_request, not noise, even if short.","120790,125782,167682,183788,193533,197365",43
