example_id	intent	intent_confidence	secondary_intent	resolution_observable	resolution_type	escalation_label	escalation_reason	noise_flag	ambiguity_flag	annotator_notes
BA_1392	website_or_app_issue	high		INFORMATION_PROVIDED	direct_answer	AUTO_HANDLE		FALSE	none	Online check-in blocked by visa-number prompt for an ESTA traveller; agent gave a cookie-bypass workaround in-thread.
BA_6754	flight_disruption	medium	noise_or_off_topic_or_ack	APOLOGY_ONLY	empathy_only	ESCALATE	other	FALSE	multi_intent	Sarcastic thanks about a BA-caused cancellation and 4h layover; needs rebooking/compensation handling off-thread.
BA_24151	flight_disruption	high	contact_or_human_escalation_request	INFORMATION_PROVIDED	status_update	ESCALATE	complaint_or_human_judgment	FALSE	multi_intent	Last-minute technical cancellation; demands an explanation; brand explained likely cause. Disruption plus complaint.
BA_26002	information_or_policy	high		HANDOFF_OUTCOME_OFF_THREAD	action_offered	ESCALATE	account_specific	FALSE	none	How to check booking class; requires account lookup so moved to DM.
BA_28722	information_or_policy	high		INFORMATION_PROVIDED	direct_answer	AUTO_HANDLE		FALSE	none	Child-fare question; schedule not yet released but fare rule answered.
BA_32439	baggage	high	information_or_policy	INFORMATION_PROVIDED	link_or_reference	AUTO_HANDLE		FALSE	none	Skateboard as hand luggage; allowed if within dimensions; link provided.
BA_32854	contact_or_human_escalation_request	high		APOLOGY_ONLY	empathy_only	ESCALATE	complaint_or_human_judgment	FALSE	none	Business-class lounge food complaint with photo; apology plus feedback routing.
BA_33704	contact_or_human_escalation_request	high	flight_disruption	HANDOFF_OUTCOME_OFF_THREAD	action_offered	ESCALATE	complaint_or_human_judgment	FALSE	none	Needs help with flight that day; one hour on phone with no help; DM offered.
BA_34921	information_or_policy	high		INFORMATION_PROVIDED	direct_answer	AUTO_HANDLE		FALSE	none	Avios part-pay tier-point rule; answered in-thread.
BA_40901	noise_or_off_topic_or_ack	high		UNCLEAR	empathy_only	AUTO_HANDLE		TRUE	none	Praise for a flight; resolution not applicable.
BA_50332	baggage	high	information_or_policy	INFORMATION_PROVIDED	direct_answer	AUTO_HANDLE		FALSE	multi_intent	Two items each under allowance; answer: number of pieces counts, not combined weight. Borderline baggage/info.
BA_50753	refund_or_compensation	low		HANDOFF_OUTCOME_OFF_THREAD	action_offered	ESCALATE	payment_or_refund	FALSE	truncated_captured	Later-position target; continuation of rejected flight-credit claim; message looks like a pasted email header supplying EC number/email after a DM request.
BA_50768	refund_or_compensation	high	contact_or_human_escalation_request	HANDOFF_OUTCOME_OFF_THREAD	action_offered	ESCALATE	compensation	FALSE	multi_intent	Claims staff misled re cancelled flight costing GBP190; asks to be contacted.
BA_51492	information_or_policy	medium		INFORMATION_PROVIDED	direct_answer	AUTO_HANDLE		FALSE	unclear_intent	Puzzled why only one of two passports gets a boarding pass; explanation given about airport checks.
BA_56521	noise_or_off_topic_or_ack	high		UNRESOLVED	none	AUTO_HANDLE		TRUE	other	Influencer-style promotional post for an in-flight entertainment feature; no customer-service need.
BA_57162	noise_or_off_topic_or_ack	high	seat_or_upgrade	UNCLEAR	empathy_only	AUTO_HANDLE		TRUE	none	Thanks for a free upgrade to First; praise only.
BA_62081	flight_disruption	high		INFORMATION_PROVIDED	status_update	AUTO_HANDLE		FALSE	none	Tonight's flight showing late; knock-on effect from a weather cancellation explained.
