text,count,share
@user {num}/{num} {url},227,0.00537
@user oh no! so sorry for that. could you provide your confirmation number via dm so i can assist? *tdl {url},125,0.00296
@user hello! i am here to help. could you provide your confirmation number via dm so i can take a look for you? thanks. *tdl... {num}/{num},61,0.00144
@user thanks! it is our pleasure to take care of you when you fly with us! ✈ *tdl,45,0.00107
@user i’d be delighted to assist. please follow and dm your confirmation number. *afc {url},42,0.00099
@user we appreciate your constructive feedback and are taking it under serious advisement. thank you for helping us to be better. *afc,37,0.00088
@user thank you for flying with us! *ams,31,0.00073
@user please accept our apology for the unfavorable impression you received in this instance. we appreciate your selection of delta and... {num}/{num},31,0.00073
@user your satisfaction is a great compliment to us. *afc,30,0.00071
@user you are very welcome. *amc,29,0.00069
"@user you're welcome, take care. *tmb",28,0.00066
@user please accept our apology for the unfavorable impression you received in this instance. we appreciate your selection of delta and will always consider it a privilege to be of service. *atj,27,0.00064
@user our pleasure. *aly,26,0.00062
@user thank you so much for reaching out to us and making your voice heard. we appreciate your feedback. *amc,26,0.00062
@user hello! i am here to help. could you provide your confirmation number via dm so i can take a look for you? thanks. *tdl {url},25,0.00059
@user you are welcome! *tcc,24,0.00057
"@user delays are never a part of our plan, and we regret the frustration we've caused you. *afc",24,0.00057
@user you're very welcome! *abn,24,0.00057
@user you are most welcome. thank you for tweeting us today; we're always here ready to help whenever you need us. *ajz,24,0.00057
"@user hello, there. thank you for sharing. *afm",23,0.00054
