text,count,share
"@user since {num}, american has banned the transport of animal trophies. we have no plans to change our policy.",59,0.0016
@user you bet!,32,0.00087
@user please dm us your record locator and we'll take a look.,23,0.00063
@user american has no plans to change our ban on the transport of animal trophies.,22,0.0006
@user you're very welcome!,21,0.00057
@user you're welcome!,20,0.00054
@user we have your dm and will answer you there.,19,0.00052
@user please check your inbox for a response from us.,18,0.00049
@user we've responded to your dm.,18,0.00049
@user you're welcome.,18,0.00049
@user we are working diligently to address the issue and expect to avoid cancellations this holiday season.,17,0.00046
@user you bet.,14,0.00038
@user we've responded to you in dms.,13,0.00035
@user we have your dm and will answer there.,12,0.00033
@user please check your dms for a message.,11,0.0003
"@user we'd like to get you an update, what's your flight number?",10,0.00027
@user we see your tweets and we'll review and respond back in dms.,10,0.00027
@user we see your dm and will respond there shortly.,10,0.00027
@user we're sorry for any rudeness from our team. we always want to treat you with kindness and respect.,10,0.00027
@user we've received your dm and will respond shortly. thanks for your patience.,10,0.00027
