example_id,conv_id,target_tweet_id,target_author_id,target_created_ts,customer_message,message_chars,message_words,is_first_inbound,target_position,n_inbound_total,conv_tweets_total,n_brand_tweets_total,prior_context,reference_brand_reply,has_brand_reply_after,bucket_primary,bucket_hits,is_conflict,sample_slice,intent,intent_confidence,secondary_intent,resolution_observable,resolution_type,escalation_label,escalation_reason,noise_flag,ambiguity_flag,annotator_notes
BA_1392,1392,8161,117424,2017-11-02 18:57:10+05:30,@British_Airways Hi I'm trying to check in online but it won't let me continue without a visa number. Im travelling to USA so I have an ESTA,140,27,True,1,1,3,2,,"@117424 Hi David, there should still be an option to bypass adding a Visa. If you delete your cookies and refresh, it might give you the 1/2",True,website_or_app_issue,website_or_app_issue,False,main,,,,,,,,,,
BA_6754,6754,34788,123551,2017-11-01 14:41:25+05:30,Gee thanks @British_Airways you cancelled my flight and now I'll spend 4 hrs at LHR before my next flight. Oh joy!,114,21,True,1,1,2,1,,"@123551 We're sorry for any inconvenience caused to your journey. We hope you're on your way soon, Lacey! ^Sophie",True,flight_disruption,flight_disruption|booking_change_or_cancellation|noise_or_off_topic,True,borderline,,,,,,,,,,
BA_24151,24151,119819,142588,2017-11-24 02:56:04+05:30,"Dear @British_Airways How does a flight get cancelled 30mins before taking off on technical grounds? You would’ve known there was a problem long before passengers started checking in &amp; advised accordingly, you have our mobile number. 4 hour wait is unacceptable",265,41,True,1,12,19,7,,@142588 They may have been trying to fix the issue or find a replacement aircraft. We're sorry for any inconvenience caused and do only cancel a flight if there's no alternative. Let us know if you need help with anything else. ^Stephen,True,flight_disruption,flight_disruption|booking_change_or_cancellation,True,borderline,,,,,,,,,,
BA_26002,26002,127275,144580,2017-11-24 08:36:53+05:30,@British_Airways Hi. One question. How can I check the booking class of my flight? It's not shown in e-ticket receipt or boarding pass.,135,23,True,1,2,3,1,,"@144580 Hi, we can check this for you. Please DM us your booking reference, full name and email address. Thanks. ^Natalie",True,information_or_policy,information_or_policy,False,main,,,,,,,,,,
BA_28722,28722,139745,147523,2017-11-24 15:06:37+05:30,@British_Airways can I also ask is it a full fare for a 2 year old and a 3 year old? London to Barbados? Thank you,114,25,True,1,2,5,3,,"@147523 Hi Jesse’s mum! That schedule hasn’t been released yet. You’ll be able to see it in 4 days (28 November). Your little ones pay a Child fare, which is a reduced fare compare to an adult fare. 1/2",True,noise_or_off_topic,noise_or_off_topic,False,main,,,,,,,,,,
BA_32439,32439,154718,151465,2017-11-24 20:32:45+05:30,"@British_Airways Hi, when travelling on an international flight, is it fine for me to carry a skateboard as a hand luggage?",123,21,True,1,2,4,2,,"@151465 Hi Theo. As long as fits the dimensions for any hand luggage, will be fine. Please find more info in the following link https://t.co/D7SBviVNUr Do you have a case for it? ^Monica",True,baggage,baggage,False,main,,,,,,,,,,
BA_32854,32854,156273,151888,2017-11-24 21:26:18+05:30,Well @British_Airways has definitely gone downhill quite sharply recently. This is the current food situation in the Business Class lounge. 📸 by my Dad. https://t.co/3sXtIgLNUz,176,25,True,1,3,5,2,,@151888 Hi Michelle. Sorry for the late reply. I hope the food situation has improved since. Please pass our apologies on to your dad. Which airport are we talking about so we can feed this back? ^Monica,True,other,other,False,main,,,,,,,,,,
BA_33704,33704,159793,126586,2017-11-24 23:40:17+05:30,@British_Airways the worst customer service I’ve experienced! Been on the phone trying to sort out my flight today for an hour and have had no help at all.. disgraceful https://t.co/2BmAoWZocK,192,30,True,1,1,2,1,,"@126586 That’s concerning to hear, Sophie. Please DM your booking reference, address and email so we can have a look. ^Monica",True,contact_or_complaint,contact_or_complaint,False,main,,,,,,,,,,
BA_34921,34921,164471,154115,2017-11-25 00:41:08+05:30,@British_Airways Will I get tier points if I pay partially with my Avios?,73,13,True,1,1,2,1,,"@154115 Hi, Ambar. If you would be looking to reduce the cost by part paying with Avios, then yes you would receive any eligible Tier points. I hope this helps. ^Lisa",True,refund_or_compensation,refund_or_compensation,False,main,,,,,,,,,,
BA_40901,40901,189587,160467,2017-10-04 17:43:14+05:30,@British_Airways great flight newcastle to Heathrow  looking forward to next one to JFK New York thank you BA good one.,119,20,True,1,1,3,2,,@160467 Hi Darren. We're pleased you had a pleasant flight to London from Newcastle. We're looking forward to welcoming you on board with us 1/2,True,noise_or_off_topic,noise_or_off_topic,False,main,,,,,,,,,,
BA_50332,50332,228299,170422,2017-10-11 15:47:01+05:30,@British_Airways morning - I’m travelling to CPT at weekend - can I take golf clubs and case if both fall are under baggage allowance?,134,24,True,1,2,4,2,,"@170422 Hi Tim, no it's the number of pieces of baggage you have that counts. Not the combined weight. You'll need to buy an extra bag if your 1/2",True,baggage,baggage|information_or_policy,True,borderline,,,,,,,,,,
BA_50753,50753,230338,170875,2017-10-08 16:18:05+05:30,"@British_Airways Hi 17707027 and __email__

Best regards Danny",62,8,False,3,2,3,1,"[CUSTOMER @ 2017-10-05 09:24:23+05:30] @British_Airways Hi it is a flight credit of mad-fra with LA this was rejected. On 13.9. booking code BBBENZ. Ticket number 0455669465726.
[BRAND @ 2017-10-05 15:06:26+05:30] @170875 Hi Danny, we can take a look into this for you. DM us your Executive Club number, email address and contact number. ^Linda",,False,other,other,False,main,,,,,,,,,,
BA_50768,50768,230411,170891,2017-10-05 03:36:14+05:30,"@British_Airways we were lied to by one of your members of staff regarding a canceled flight and now it's cost me £190, please contact me",137,25,True,1,1,4,3,,"@170891 Hi Marc, we're sorry to hear of the issues you've experienced and we're following you now so you can DM. Please confirm your",True,booking_change_or_cancellation,booking_change_or_cancellation|contact_or_complaint|information_or_policy,True,borderline,,,,,,,,,,
BA_51310,51310,232941,171443,2017-10-05 15:14:55+05:30,@British_Airways thanks for cancelling the skyflyer solo program .. much appreciated,84,11,True,1,1,2,1,,@171443 We stopped doing this some time ago. We're sorry if you weren't previously aware of this. ^SR,True,booking_change_or_cancellation,booking_change_or_cancellation|noise_or_off_topic,False,main,,,,,,,,,,
BA_51492,51492,233677,171626,2017-10-05 16:46:56+05:30,"both need our passport checked, one gets a boarding pass, one doesn't? 
@British_Airways ? https://t.co/yLYZf8p1kR",114,15,True,1,3,8,5,,"@171626 Hi Mike, as stated, further passport checks are required at the airport. Please allow additional time for this. ^Linda",True,other,other,False,main,,,,,,,,,,
BA_56521,56521,256829,177077,2017-10-04 14:43:41+05:30,Travelling long-haul with @British_Airways this month? Check out #TecchlersCello on your in-flight entertainment system! https://t.co/GNh4sqEiLo,144,15,True,1,3,5,2,,"@177076 Hi Guy, thanks for sharing! We hope you'll be joining us on board again soon! ^L",True,other,other,False,main,,,,,,,,,,
