candidate_id,conv_id,tweet_id,created_ts,matched_keywords,n_keyword_groups,msg_chars,customer_message
ACCT_0000,506929,1999220,2017-11-03 01:00:37+05:30,password|log in|login|loggin|account|reset,6,133,@British_Airways Hi I have some trouble logging into my account - my account is via an Amex card. I can't reset password by my email.
ACCT_0001,392559,1601251,2017-10-17 02:04:30+05:30,password|log in|login|loggin|account|reset,6,136,"@British_Airways Just booked a flight, however, can't login to my account keeps saying page not found tried password reset still nothing"
ACCT_0002,755798,2844173,2017-11-27 19:26:16+05:30,log in|login|loggin|user ?name|username|account,6,205,@British_Airways hi im trying to login to my executive account and it’s saying my username/pw isn’t recognised. I’ve tried to rest my pw a few times but haven’t had an email through. Please could you help?
ACCT_0003,568481,2194984,2017-11-09 19:57:54+05:30,password|log in|login|loggin|account|reset,6,215,"@British_Airways any issues with login to accounts? Unable to login in, reset password and now stuck in a loop of not being able to login. Thankfully I’ve checked in but I can’t see anything now I can’t get into app"
ACCT_0004,543969,2109338,2017-11-08 08:40:30+05:30,password|log in|login|loggin|reset,5,87,@British_Airways is your app down? Unable to log in even after resetting my password...
ACCT_0005,525139,2051357,2017-10-06 00:50:51+05:30,executive club|password|log in|login|loggin,5,95,@British_Airways I can't log into my Executive Club. Changed the password and everything. Help?
ACCT_0006,542895,2105455,2017-11-08 16:49:34+05:30,password|log in|login|loggin|reset,5,127,"@British_Airways I can’t log in to manage my booking online, I’ve requested a password reset but haven’t had any email through."
ACCT_0007,477481,1900682,2017-10-18 13:33:10+05:30,executive club|log in|login|loggin|account,5,129,@British_Airways I'm having difficulty logging into my executive club account with my email. I would appreciate the help. Thanks!
ACCT_0008,150120,635246,2017-11-20 21:41:13+05:30,executive club|log in|login|loggin|account,5,256,"@British_Airways My Executive Club number is 63309070 and I tried to combine my avios with my Iberia Plus account a few times . I keep getting an error message saying that the log in details are not correct, but they really are! How do I get this done now?"
ACCT_0009,556504,2152795,2017-11-26 18:01:51+05:30,password|log in|login|loggin|account,5,263,@British_Airways I can log into my account fine on the website but the app is refusing to accept my Club number and password. Keeps rejecting the login saying details are out of date. I’ve deleted and reinstalled the app without fixing the problem. Please advise.
ACCT_0010,272851,1126952,2017-10-14 15:15:14+05:30,log in|login|loggin|id,4,87,@British_Airways can’t make the app work not updating and now can’t log in?? Any ideas?
ACCT_0011,310279,1277125,2017-10-16 01:23:03+05:30,log in|login|loggin|account,4,88,"@British_Airways Hi, having trouble logging into my exec account. Please can you assist?"
