text,count,share
@user here’s what you can do to work around the issue until it’s fixed in a future software update: {url},5951,0.05569
@user we offer support via twitter in english. contact us for help in your preferred language here: {url},1095,0.01025
@user we offer support via twitter in english. get help in spanish here: {url} or join {url},792,0.00741
@user thanks for reaching out. we have a workaround for this here: {url} dm us if you still need help. {url},643,0.00602
"@user since our twitter support is available in english, get help at {url} or join {url}",441,0.00413
@user thanks for reaching out. we're here to help. dm us so we can look into this further with you. {url},410,0.00384
@user here’s what you can do to work around the issue until it’s fixed in a future software update: {url} {url},298,0.00279
@user we'd be happy to look into this with you more in detail. please reach out to us via dm and we'll get started. {url},290,0.00271
@user we're here to help. let's take this to dm so we can better assist you. {url},283,0.00265
"@user an update has been released to assist with this issue. if you haven’t yet, please back up your device and update it to ios {num}.{num}.{num}. for more info, check out: {url}",268,0.00251
@user let's look into that. send us a dm and we'll go from there. {url},257,0.00241
"@user ios {num}.{num}.{num} was recently released and it includes a fix for autocorrect issues. be sure to back up your device prior to updating, and let us know if the issue persists afterwards. how to back up: {url}",212,0.00198
@user we'd like to help. let's take this to dm and we'll explore ways to provide you assistance. {url},201,0.00188
"@user we recently released an ios update, {num}.{num}.{num}, that contains a fix for autocorrect issues. let’s be sure to back up your device prior to updating. how to back up: {url}",188,0.00176
@user thanks for reaching out to us for support. we would love to help you. please dm us so that we can look into this together. {url},178,0.00167
"@user we'd be happy to look this over with you. please meet us in dm so we may gather information, and better assist. {url}",158,0.00148
@user we'd like to gather some more information for better troubleshooting. can you dm us the country you are located in? {url},157,0.00147
@user we are here for you. let's take a look at this further for you. reach out to us in dm. {url},135,0.00126
@user we're happy to assist. which ios version are you currently running? go to settings &gt; general &gt; about for the version.,116,0.00109
@user thanks for reaching out to us. we'd like to help you and look into this further. please dm us to continue working on this. {url},113,0.00106
