brand,n_conversations,median_conversation_length,mean_conversation_length,max_conversation_length,n_ge2_brand_responses,pct_ge2_brand_responses,n_ge3_brand_responses,pct_ge3_brand_responses,unique_customers,avg_customer_messages_per_conv,avg_brand_messages_per_conv,pct_both_customer_and_brand
AmazonHelp,82556,3.0,4.53,448,40969,0.4963,19033,0.2305,88682,2.47,2.06,1.0
AppleSupport,80717,2.0,2.96,282,17930,0.2221,5010,0.0621,87687,1.63,1.32,1.0
Uber_Support,41923,2.0,3.07,534,9394,0.2241,2606,0.0622,45420,1.72,1.34,1.0
SpotifyCares,28280,2.0,3.25,354,8253,0.2918,3225,0.114,30793,1.72,1.53,0.9999
AmericanAir,26386,2.0,3.32,204,7192,0.2726,1968,0.0746,28945,1.9,1.39,1.0
Delta,26168,2.0,3.36,209,8724,0.3334,3472,0.1327,28230,1.73,1.61,0.9999
comcastcares,24063,2.0,3.04,651,5807,0.2413,1493,0.062,27161,1.64,1.37,1.0
TMobileHelp,22820,2.0,3.63,974,5327,0.2334,1607,0.0704,29965,2.07,1.5,1.0
SouthwestAir,21636,2.0,2.99,1060,4233,0.1956,1126,0.052,24185,1.63,1.34,0.9999
Ask_Spectrum,18532,2.0,3.22,651,4260,0.2299,1214,0.0655,22089,1.79,1.4,0.9999
Tesco,16722,4.0,4.38,551,10197,0.6098,5736,0.343,18685,2.05,2.31,1.0
British_Airways,16452,3.0,3.69,123,7293,0.4433,2869,0.1744,17944,1.9,1.78,1.0
UPSHelp,15523,2.0,2.87,456,1698,0.1094,367,0.0236,17395,1.66,1.15,1.0
hulu_support,14955,2.0,3.3,584,4202,0.281,1258,0.0841,16851,1.79,1.46,0.9998
VirginTrains,14853,3.0,4.43,203,6273,0.4223,2648,0.1783,18237,2.55,1.87,0.9999
ChipotleTweets,14392,2.0,2.91,308,2614,0.1816,514,0.0357,16362,1.6,1.3,1.0
sprintcare,13560,2.0,3.99,974,4056,0.2991,1723,0.1271,18040,2.23,1.65,1.0
XboxSupport,13455,3.0,4.29,584,5715,0.4247,2115,0.1572,17563,2.41,1.83,0.9985
AskPlayStation,12533,2.0,3.44,193,4074,0.3251,1406,0.1122,14121,1.91,1.52,1.0
AskTarget,11151,2.0,2.75,87,1576,0.1413,256,0.023,12442,1.56,1.19,1.0
